location,Basel,Basel,Basel,Basel
lat,47.54694,47.54694,47.54694,47.54694
lon,7.56892,7.56892,7.56892,7.56892
asl,283.697,283.697,283.697,283.697
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Basel Temperature [2 m elevation corrected],Basel Relative Humidity [2 m],Basel Wind Speed [10 m],Basel Wind Direction [10 m]
20201210T1200,2.0605285,73.0,17.414474,119.74488
20201210T1300,3.2105286,66.0,17.414474,119.74488
20201210T1400,3.7705286,64.0,16.179987,122.27564
20201210T1500,3.9205287,64.0,15.629971,128.4537
20201210T1600,3.3805285,67.0,13.324863,128.41805
20201210T1700,2.0305285,74.0,13.18308,124.99202
20201210T1800,0.6905287,80.0,12.4811535,123.231705
20201210T1900,-0.47947133,86.0,11.609651,119.74488
20201210T2000,-0.84947133,88.0,10.990322,121.6075
20201210T2100,-1.0594714,88.0,10.315115,119.248825
20201210T2200,-1.2094713,88.0,7.8954163,114.22774
20201210T2300,-1.2494713,87.0,4.6938257,122.47119
20201211T0000,-0.9194713,84.0,5.8048253,119.74488
20201211T0100,-0.75947136,84.0,8.766573,109.17901
20201211T0200,-0.8594713,83.0,11.177405,104.93142
20201211T0300,-0.76947135,81.0,12.10157,112.75097
20201211T0400,0.020528657,74.0,13.584932,122.00538
20201211T0500,-0.059471346,79.0,13.979872,124.508514
20201211T0600,-0.45947134,85.0,12.88981,125.90971
20201211T0700,-0.62947136,87.0,12.10157,120.37913
20201211T0800,-0.12947133,85.0,12.594856,120.963745
20201211T0900,0.79052866,81.0,12.904882,120.14138
20201211T1000,3.2605286,73.0,12.538134,140.82634
20201211T1100,4.7205286,65.0,11.885453,178.2643
20201211T1200,4.7505283,56.0,13.441071,187.69604
20201211T1300,6.790529,53.0,11.631956,158.1986
20201211T1400,5.8705287,49.0,15.226764,173.21103
20201211T1500,4.1105285,69.0,18.532133,155.9245
20201211T1600,3.7705286,77.0,15.646544,156.9745
20201211T1700,3.7805285,78.0,17.713316,142.43141
20201211T1800,3.8405285,81.0,18.892282,149.03624
20201211T1900,4.9505286,76.0,15.175612,157.69379
20201211T2000,5.7305284,74.0,11.165805,178.15239
20201211T2100,5.5605288,76.0,10.829959,195.42216
20201211T2200,5.2605286,78.0,9.47012,188.74615
20201211T2300,5.2605286,80.0,7.9526596,185.19443
20201212T0000,5.8005285,77.0,6.489992,176.82018
20201212T0100,5.9005284,78.0,6.638072,192.52881
20201212T0200,6.0605288,79.0,6.519877,186.3402
20201212T0300,6.1905284,79.0,11.4862,212.19574
20201212T0400,6.1605287,74.0,14.76439,225.0
20201212T0500,5.9105287,79.0,18.504139,232.90717
20201212T0600,5.6405287,83.0,18.581022,234.46233
20201212T0700,5.7405286,80.0,7.7879906,213.69006
20201212T0800,5.8705287,80.0,4.32,180.0
20201212T0900,6.0205283,83.0,4.8965297,143.97263
20201212T1000,7.0305285,81.0,2.8799999,180.0
20201212T1100,8.690529,77.0,3.4152596,288.43497
20201212T1200,9.620529,73.0,3.2399998,270.0
20201212T1300,7.6105285,80.0,3.2399998,89.99999
20201212T1400,8.250529,80.0,2.8799999,270.0
20201212T1500,9.190529,75.0,10.829959,254.57785
